number,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16
1,5,4,8,6,6,6,8,8,2,2,1,1,2,3,3,2
2,6,6,6,6,6,6,6,6,2,2,1,1,2,3,3,2
3,8,6,8,6,6,6,8,3,2,2,3,3,2,3,3,2
4,3,6,3,6,6,6,8,8,3,3,3,3,3,3,3,3
5,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3
6,8,6,3,6,6,6,8,3,3,3,3,3,3,3,3,3
7,4,4,4,4,4,6,4,6,4,4,4,8,4,6,6,4
8,4,8,4,4,4,6,4,6,4,4,4,8,4,6,6,4
9,6,8,4,4,4,6,4,6,4,4,8,8,4,6,6,4
10,5,6,8,6,6,6,8,8,2,2,3,1,2,3,3,2
11,3,6,3,6,6,6,8,8,3,3,3,3,3,3,3,3
12,6,8,4,4,4,6,4,6,4,4,8,8,4,6,6,4
13,5,4,1,4,4,6,1,8,1,1,1,1,1,3,3,1
14,8,8,4,4,4,6,4,8,1,1,1,1,1,3,3,1
15,3,8,1,4,4,6,1,3,1,1,3,3,1,3,3,1
16,5,8,1,4,4,6,1,8,1,1,3,1,1,3,3,1
17,5,8,1,4,4,6,1,8,5,5,3,1,5,3,3,5
18,5,4,1,4,4,6,1,8,5,5,1,1,5,3,3,5
19,3,8,1,4,4,6,1,3,5,5,3,3,5,3,3,5
20,8,8,4,4,4,6,4,8,5,5,1,1,5,3,3,5
21,5,8,1,4,4,6,1,8,5,5,3,1,5,3,3,5
22,5,8,1,4,4,6,1,8,1,1,3,1,1,3,3,1
23,5,6,8,6,6,6,8,8,2,2,3,1,2,3,3,2
24,3,6,3,6,6,6,8,8,3,3,3,3,3,3,3,3
25,6,8,4,4,4,6,4,6,4,4,8,8,4,6,6,4
