number,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16
1,11,7,4,7,3,3,1,1,7,7,7,7,5,3,5,3
2,12,15,7,7,5,5,5,5,7,7,7,7,5,5,5,5
3,14,4,4,4,4,4,4,17,4,7,4,7,7,4,7,4
4,14,7,16,7,3,3,1,1,7,7,7,7,5,3,5,3
5,7,7,7,7,5,5,5,5,7,7,7,7,5,5,5,5
6,14,4,4,4,4,4,4,4,4,7,4,7,7,4,7,4
7,12,7,7,7,3,3,5,5,7,7,7,18,5,3,5,3
8,12,7,7,7,5,5,5,5,7,7,7,7,5,5,5,5
9,7,4,7,4,4,4,7,7,4,7,4,7,7,4,7,4
10,13,1,4,4,1,1,1,1,4,7,1,7,5,1,5,1
11,14,4,16,4,1,1,1,1,4,7,4,7,5,1,5,1
12,12,1,7,4,1,1,5,5,4,7,1,18,5,1,5,1
13,13,7,7,7,3,3,3,1,7,7,7,7,5,3,5,3
14,12,15,7,7,5,5,5,5,7,7,7,7,5,5,5,5
15,14,4,7,4,4,4,7,17,4,7,4,7,7,4,7,4
16,13,1,7,4,1,1,1,1,4,7,1,7,5,1,5,1
17,6,1,4,4,1,1,1,1,4,7,1,7,5,1,5,1
18,6,7,4,7,3,3,1,1,7,7,7,7,5,3,5,3
19,7,4,4,4,4,4,4,4,4,7,4,7,7,4,7,4
20,5,7,7,7,5,5,5,5,7,7,7,7,5,5,5,5
21,6,7,4,7,6,6,1,1,7,7,7,7,5,6,5,6
22,6,7,7,7,6,6,6,1,7,7,7,7,5,6,5,6
23,6,7,4,7,6,6,1,1,7,7,7,7,5,6,5,6
24,7,7,4,7,6,6,1,1,7,7,7,7,5,6,5,6
25,5,7,7,7,6,6,5,5,7,7,7,7,5,6,5,6
