number,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16
1,1,5,7,7,7,7,7,7,3,3,1,1,3,4,4,3
2,5,5,7,7,7,7,7,7,3,3,1,1,3,4,4,3
3,4,7,7,7,7,7,5,7,3,3,4,4,3,4,4,3
4,1,5,7,7,7,7,7,7,3,3,1,1,3,4,4,3
5,4,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4
6,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4
7,4,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4
8,4,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4
9,5,5,5,5,5,7,5,7,5,5,5,5,5,7,7,5
10,5,5,5,5,5,7,5,7,5,5,5,1,5,7,7,5
11,7,7,5,5,5,7,5,7,5,5,7,7,5,7,7,5
12,5,5,5,5,5,7,5,7,5,5,5,5,5,7,7,5
13,1,5,5,5,5,7,5,7,1,1,1,1,1,4,4,1
14,5,5,5,5,5,7,5,7,1,1,1,1,1,4,4,1
15,4,7,5,5,5,7,5,7,1,1,4,4,1,4,4,1
16,1,5,5,5,5,7,5,7,1,1,1,1,1,4,4,1
17,1,5,7,7,7,7,7,4,3,3,1,1,3,4,4,3
18,4,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4
19,5,5,5,5,5,7,5,7,5,5,5,5,5,7,7,5
20,1,5,1,5,5,7,5,4,1,1,1,1,1,4,4,1
21,5,5,5,5,5,7,5,7,1,1,1,1,1,4,4,1
22,4,7,5,5,5,7,5,7,1,1,4,4,1,4,4,1
23,1,5,1,5,5,7,5,4,1,1,1,1,1,4,4,1
24,1,5,5,5,5,7,5,7,1,1,1,1,1,4,4,1
25,1,5,5,5,5,7,5,7,1,1,1,1,1,4,4,1
