number,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16
1,5,4,6,6,6,6,6,3,2,2,1,3,2,3,3,2
2,6,6,6,6,6,6,6,6,2,2,1,1,2,3,3,2
3,6,6,6,6,6,6,6,3,2,2,3,3,2,3,3,2
4,3,6,3,6,6,6,6,6,3,3,3,3,3,3,3,3
5,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3
6,6,6,3,6,6,6,6,3,3,3,3,3,3,3,3,3
7,4,4,4,4,4,6,4,6,4,4,4,6,4,6,6,4
8,4,6,4,4,4,6,4,6,4,4,4,6,4,6,6,4
9,6,6,4,4,4,6,4,6,4,4,6,6,4,6,6,4
10,5,6,6,6,6,6,6,3,2,2,1,3,2,3,3,2
11,3,6,3,6,6,6,6,6,3,3,3,3,3,3,3,3
12,4,6,4,4,4,6,4,6,4,4,6,6,4,6,6,4
13,5,4,1,4,4,6,4,3,1,1,1,3,1,3,3,1
14,6,6,4,4,4,6,4,6,1,1,1,1,1,3,3,1
15,6,6,1,4,4,6,1,3,1,1,3,3,1,3,3,1
16,5,6,1,4,4,6,1,3,1,1,3,3,1,3,3,1
17,5,6,1,4,4,6,1,6,5,5,3,3,5,3,3,5
18,5,4,1,4,4,6,1,3,5,5,1,3,5,3,3,5
19,3,6,1,4,4,6,1,3,5,5,3,3,5,3,3,5
20,6,6,4,4,4,6,4,6,5,5,1,1,5,3,3,5
21,5,6,1,4,4,6,1,6,5,5,3,3,5,3,3,5
22,5,6,1,4,4,6,1,6,1,1,3,3,1,3,3,1
23,5,6,6,6,6,6,6,3,2,2,3,3,2,3,3,2
24,3,6,3,6,6,6,6,6,3,3,3,3,3,3,3,3
25,6,6,4,4,4,6,4,6,4,4,6,6,4,6,6,4
