number,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16
1,11,7,4,7,3,3,1,17,7,7,7,18,5,3,5,3
2,12,7,7,7,5,5,5,5,7,7,7,5,5,5,5,5
3,14,4,4,4,4,4,4,4,4,7,4,7,7,4,7,4
5,14,7,4,7,3,3,1,5,7,7,7,7,5,3,5,3
6,7,7,7,7,5,5,5,5,7,7,7,7,5,5,5,5
7,14,4,4,4,4,4,4,4,4,7,4,7,7,4,7,4
9,12,7,7,7,3,3,5,5,7,7,7,7,5,3,5,3
10,12,7,7,7,5,5,5,5,7,7,7,7,5,5,5,5
11,7,4,7,4,4,4,7,7,4,7,4,7,7,4,7,4
17,13,15,4,4,1,1,1,1,4,7,4,7,5,1,5,1
18,14,4,4,4,1,1,1,5,4,7,4,7,5,1,5,1
19,12,4,7,4,1,1,5,5,4,7,4,7,5,1,5,1
20,13,7,16,7,3,3,1,1,7,7,7,7,5,3,5,3
21,12,7,7,7,5,5,5,5,7,7,7,5,5,5,5,5
22,14,4,4,4,4,4,4,4,4,7,4,7,7,4,7,4
23,13,15,16,4,1,1,1,17,4,7,4,18,5,1,5,1
26,6,4,4,4,1,1,1,5,4,7,6,5,5,1,5,1
28,6,7,4,7,3,3,1,1,7,7,7,7,5,3,5,3
29,7,4,7,4,4,4,7,4,4,7,4,7,7,4,7,4
30,5,7,7,7,5,5,5,5,7,7,7,7,5,5,5,5
31,6,4,4,4,6,6,1,5,4,7,6,5,5,6,5,6
32,6,4,4,4,6,6,1,5,4,7,6,5,5,6,5,6
34,6,4,4,4,6,6,1,1,4,7,6,7,5,6,5,6
35,7,4,4,4,6,6,1,1,4,7,4,7,5,6,5,6
36,5,1,7,4,6,6,5,5,4,7,1,7,5,6,5,6
