number,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16
1,7,7,7,7,3,3,2,2,7,7,7,7,5,3,5,3
2,7,7,7,7,5,5,5,5,7,7,7,7,5,5,5,5
3,7,4,4,4,4,4,4,4,4,7,4,7,7,4,7,4
4,7,4,4,4,2,2,2,2,4,7,4,5,5,2,5,2
5,7,7,4,7,3,3,2,2,7,7,7,7,5,3,5,3
6,7,7,7,7,5,5,5,5,7,7,7,7,5,5,5,5
7,7,4,4,4,4,4,4,4,4,7,4,7,7,4,7,4
8,7,4,4,4,2,2,2,2,4,7,4,7,5,2,5,2
9,7,7,7,7,3,3,5,5,7,7,7,7,5,3,5,3
10,7,7,7,7,5,5,5,5,7,7,7,7,5,5,5,5
11,7,4,7,4,4,4,7,7,4,7,4,7,7,4,7,4
12,7,4,7,4,2,2,5,5,4,7,4,7,5,2,5,2
13,7,7,4,7,3,3,2,5,7,7,7,7,5,3,5,3
14,7,7,7,7,5,5,5,5,7,7,7,7,5,5,5,5
15,7,4,4,4,4,4,4,4,4,7,4,7,7,4,7,4
16,7,4,4,4,2,2,2,2,4,7,4,7,5,2,5,2
17,7,4,4,4,1,1,2,2,4,7,4,5,5,1,5,1
18,7,4,4,4,1,1,2,2,4,7,4,7,5,1,5,1
19,7,4,7,4,1,1,5,5,4,7,4,7,5,1,5,1
20,7,7,7,7,3,3,2,5,7,7,7,7,5,3,5,3
21,7,7,7,7,5,5,5,5,7,7,7,7,5,5,5,5
22,7,4,4,4,4,4,4,4,4,7,4,7,7,4,7,4
23,7,4,7,4,1,1,2,2,4,7,4,7,5,1,5,1
24,7,4,4,4,2,2,2,2,4,7,4,7,5,2,5,2
25,7,4,4,4,1,1,2,2,4,7,4,7,5,1,5,1
